SOMECOMPANY-VM-REPORT,03/08/2021 at 00:08:44 (GMT-0800),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A360 Operations,"Abc, Inc.","Abc Street, 2th floor.",Santa Monica,California,United States of America,90291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Doe,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Groups,IPs,Active Hosts,Hosts Matching Filters,Trend Analysis,Date Range,Network,Asset Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONE,NONE,0,0,Last 1 week,03/01/2021 - 03/08/2021,Global Default Network,"Included(any): PLANGRID-P-UE1, PLANGRID-P-UW2, PLANGRID-C-UE1, PLANGRID-P-AS2, PLANGRID-C-UE2;
Excluded(any): Stopped, Terminated;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Vulnerabilities,Avg Security Risk,Business Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0/100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP,Network,Total Vulnerabilities,Security Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.10.0.1,Global Default Network,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.10.0.2,Global Default Network,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.10.0.3,Global Default Network,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severity,Total,Trend,Confirmed,Trend,Potential,Trend,Information Gathered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP,Network,DNS,NetBIOS,Tracking Method,OS,IP Status,QID,Title,Vuln Status,Type,Severity,Port,Protocol,FQDN,SSL,First Detected,Last Detected,Times Detected,Date Last Fixed,CVE ID,Vendor Reference,Bugtraq ID,CVSS3,CVSS3 Base,CVSS3 Temporal,Threat,Impact,Solution,Exploitability,Associated Malware,Results,PCI Vuln,Ticket State,Instance,OS CPE,Category,Associated Tags,Non-running Kernel
172.30.1.1,Global Default Network,event-stream-rabbitmq-node-2,event-stream-rabbitmq-node-2,QAGENT,Ubuntu Linux 16.04.6,"host scanned, found vuln",197733,Ubuntu Security Notification for Git Vulnerabilities (USN-4220-1),Active,Vuln,3,,,,,5/4/2020 16:26,3/7/2021 21:27,1498,,"CVE-2019-1348, CVE-2019-1349, CVE-2019-1350, CVE-2019-1351, CVE-2019-1352, CVE-2019-1353, CVE-2019-1354, CVE-2019-1387, CVE-2019-19604",USN-4220-1,,7.8,9.8 (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H),7.8 (E:U/RL:O/RC:U),  It was discovered that Git contained various security flaws.,"   An attacker could possibly use these issues to overwrite arbitrary paths, execute arbitrary code, and overwrite files in the .git directory.","Refer to Ubuntu advisory USN-4220-1 (https://lists.ubuntu.com/archives/ubuntu-security-announce/2019-December/005244.html) for affected packages and patching details, or update with your package manager.
 Patch:
Following are links for downloading patches to fix the vulnerabilities:
  USN-4220-1: 18.04 (bionic) on src (git) (https://launchpad.net/ubuntu/+source/git/1:2.17.1-1ubuntu0.5)  USN-4220-1: 19.10 (eoan) on src (git) (https://launchpad.net/ubuntu/+source/git/1:2.20.1-2ubuntu1.19.10.1)  USN-4220-1: 19.04 (disco) on src (git) (https://launchpad.net/ubuntu/+source/git/1:2.20.1-2ubuntu1.19.04.1)  USN-4220-1: 16.04 (Xenial) on src (git) (https://launchpad.net/ubuntu/+source/git/1:2.7.4-0ubuntu1.7)",,,"Package	Installed Version	Required Version
git-man	1:2.7.4-0ubuntu1.6	1:2.7.4-0ubuntu1.7#",yes,,,,Ubuntu,,No
172.30.1.2,Global Default Network,event-stream-rabbitmq-node-1,event-stream-rabbitmq-node-1,QAGENT,Ubuntu Linux 16.04.6,"host scanned, found vuln",197733,Ubuntu Security Notification for Git Vulnerabilities (USN-4220-1),Active,Vuln,3,,,,,5/20/2020 11:34,3/7/2021 20:30,1436,,"CVE-2019-1348, CVE-2019-1349, CVE-2019-1350, CVE-2019-1351, CVE-2019-1352, CVE-2019-1353, CVE-2019-1354, CVE-2019-1387, CVE-2019-19604",USN-4220-1,,7.8,9.8 (AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H),7.8 (E:U/RL:O/RC:U),  It was discovered that Git contained various security flaws.,"   An attacker could possibly use these issues to overwrite arbitrary paths, execute arbitrary code, and overwrite files in the .git directory.","Refer to Ubuntu advisory USN-4220-1 (https://lists.ubuntu.com/archives/ubuntu-security-announce/2019-December/005244.html) for affected packages and patching details, or update with your package manager.
 Patch:
Following are links for downloading patches to fix the vulnerabilities:
  USN-4220-1: 18.04 (bionic) on src (git) (https://launchpad.net/ubuntu/+source/git/1:2.17.1-1ubuntu0.5)  USN-4220-1: 19.10 (eoan) on src (git) (https://launchpad.net/ubuntu/+source/git/1:2.20.1-2ubuntu1.19.10.1)  USN-4220-1: 19.04 (disco) on src (git) (https://launchpad.net/ubuntu/+source/git/1:2.20.1-2ubuntu1.19.04.1)  USN-4220-1: 16.04 (Xenial) on src (git) (https://launchpad.net/ubuntu/+source/git/1:2.7.4-0ubuntu1.7)",,,"Package	Installed Version	Required Version
git-man	1:2.7.4-0ubuntu1.6	1:2.7.4-0ubuntu1.7#",yes,,,,Ubuntu,,No
